STUDY,STUDY TITLE ,STUDY DESCRIPTION,DATASET,DATASET TITLE,DATASET DESCRIPTION,SAMPLE TECHNOLOGY
EGAS00000000001,WTCCC case-control study for Bipolar Disorder,WTCCC genome-wide case-control association study for Bipolar disorder (BD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000001,WTCCC case-control study for Bipolar Disorder,WTCCC genome-wide case-control association study for Bipolar disorder (BD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000001,WTCCC case-control study for Bipolar Disorder,WTCCC genome-wide case-control association study for Bipolar disorder (BD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
